,number_of_stars,number_of_planets,number_of_moons,circumbinary,orbital_period_in_days,orbital_semimajor_axis_in_AU,radius_in_Earth_radii,mass_in_Earth_masses,density_in_grams_per_cubic_centimeter,orbital_eccentricity,insolation_flux_in_Earth_flux,equilibrium_temperature,spectral_type,stellar_mass_in_Sun_masses,stellar_luminosity,stellar_surface_gravity,type,short_description,description,url,subtitle
30,2,5,0,0,0.7365474,0.01544,1.875,7.99,6.66,0.05,,,,0.91,,4.43,,,,,
45,1,2,0,0,8.4629991,0.0645,,20.12,1.32,0.186,,,,0.5,,,,,,,
46,1,2,0,0,18.858991,0.1101,,9.6,1.22,,,,,0.5,,,,,,,
79,1,1,0,0,1.5089557,,16.7,327.35,0.38,0.0,,1898.0,G0 V,0.95,,4.25,,,,,
80,1,1,0,0,13.2406,0.1055,10.87,874.0,3.7,0.53,,600.0,K1 V,0.89,,4.65,,,,,
81,1,1,0,0,2.99433,0.0436,16.03,740.51,0.99,0.0,,1657.0,F6 V,1.27,,4.22,,,,,
82,1,1,0,0,2.828042,0.04016,16.14,291.438,0.411,0.07,,1442.0,,1.08,,4.38,,,,,
83,1,1,0,0,4.03519,0.051,9.92,415.704,2.34,0.0,,1700.0,G0 V,1.09,,4.46,,,,,
84,1,1,0,0,1.51214,0.027,12.22,2415.4,7.3,0.0,,1952.0,F9 V,1.13,,4.35,,,,,
85,1,1,0,0,5.35227,0.0618,13.11,170.032,0.44,0.33,,,G5 V,1.1,,4.36,,,,,
86,1,1,0,0,3.7681,0.0461,11.43,772.29,2.82,0.0,,1626.0,G2 V,1.04,,4.4,,,,,
87,1,1,0,0,1.9000693,0.0295,14.68,1102.82,2.2,0.08,,1550.0,G9 V,0.95,,4.4,,,,,
88,1,1,0,0,3.89713,0.0518,14.46,352.78,0.71,0.047,,2000.0,F9 V,1.21,0.544,4.07,,,,,
89,2,1,0,0,1.7429935,0.02798,16.432,1102.82,1.47,0.0143,,,,0.96,,,,,,,
92,1,1,0,0,2.72474,0.0417,14.572,718.2958,1.36,0.0,,,F8 IV,1.29,,3.7,,,,,
93,1,1,0,0,9.75598,0.092,4.88,12.2,0.249,0.077,,885.0,G3 V,1.1,,4.36,,,,,
94,1,1,0,0,3.6313,0.048,11.77,889.9,3.0,0.16,,1660.0,G0 V,1.14,,4.3,,,,,
95,1,2,0,0,5.1134,0.056,3.7,5.7,0.9,0.0,,1070.0,K1 V,0.91,,4.55,,,,,
96,1,2,0,0,11.759,0.098,5.0,28.0,1.3,0.0,,850.0,K1 V,0.91,,4.55,,,,,
97,1,1,0,0,4.86069,0.0578,12.11,85.81,0.15,0.0,,1330.0,F9,1.09,,4.31,,,,,
98,1,1,0,0,4.20474,0.0526,14.12,165.26,0.28,0.0,,1600.0,G5,1.09,,3.99,,,,,
99,1,1,0,0,3.57532,0.0476,11.287,3302.11,12.6,0.065,,1500.0,G2,1.05,,4.4,,,,,
100,1,1,0,0,5.20851,0.0603,10.705,153.82972,0.69,0.047,,,G8/9 IV,1.01,,3.6,,,,,
