id,pl_hostname,pl_letter,display_name,description,discovery_date,url,title,feature_title,mass_display,planet_type,st_dist,st_optmag,pl_radj,pl_rade,pl_massj,pl_discmethod,image,list_image,short_description,ranger_feature_id,ranger_system_id,ranger_system,exo_id,subtitle,categories,pl_kepflag,pl_facility,long_description
7391,EPIC_201497682,b,EPIC 201497682 b,EPIC 201497682 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.26 Earths and it takes 2.1 days to complete one orbit of its star. Its discovery was announced in 2019.,2019,/exoplanet-catalog/7391/epic-201497682-b/,EPIC 201497682 b,EPIC 201497682 b,0.26 Earths,Terrestrial,825,13.948,0.062,0.692,0.00082,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,EPIC 201497682 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.26 Earths and it takes 2.1 days to complete one orbit of its star. Its discovery was announced in 2019.,EPIC_201497682_b,EPIC_201497682,false,EPIC_201497682_b,A rocky world outside our solar system,[],true,K2,null
7772,EPIC_201757695,b,EPIC 201757695.02,EPIC 201757695.02 is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.688 EarthsCOMMA it takes 2 days to complete one orbit of its starCOMMA and is 0.0296 AU from its star. Its discovery was announced in 2020.,2020,/exoplanet-catalog/7772/epic-20175769502/,EPIC 201757695.02,EPIC 201757695.02,0.688 Earths,Terrestrial,1884,14.974,0.081,0.908,0.00217,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,EPIC 201757695.02 is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.688 EarthsCOMMA it takes 2 days to complete one orbit of its starCOMMA and is 0.0296 AU from its star. Its discovery was announced in 2020.,EPIC_201757695.02,EPIC_201757695,false,EPIC_201757695.02,A rocky world outside our solar system,[],true,K2,null
7394,K2-50,c,EPIC 201833600 c,EPIC 201833600 c is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.972 Earths and it takes 4 days to complete one orbit of its star. Its discovery was announced in 2019.,2019,/exoplanet-catalog/7394/epic-201833600-c/,EPIC 201833600 c,EPIC 201833600 c,0.972 Earths,Terrestrial,840,14.705,0.089,1.0,0.00306,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,EPIC 201833600 c is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.972 Earths and it takes 4 days to complete one orbit of its star. Its discovery was announced in 2019.,EPIC_201833600_c,K2-50,false,EPIC_201833600_c,A rocky world outside our solar system,[],true,K2,null
7400,EPIC_206215704,b,EPIC 206215704 b,EPIC 206215704 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.972 Earths and it takes 2.3 days to complete one orbit of its star. Its discovery was announced in 2019.,2019,/exoplanet-catalog/7400/epic-206215704-b/,EPIC 206215704 b,EPIC 206215704 b,0.972 Earths,Terrestrial,358,17.83,0.089,1.0,0.00306,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,EPIC 206215704 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.972 Earths and it takes 2.3 days to complete one orbit of its star. Its discovery was announced in 2019.,EPIC_206215704_b,EPIC_206215704,false,EPIC_206215704_b,A rocky world outside our solar system,[],true,K2,null
7401,EPIC_206317286,b,EPIC 206317286 b,EPIC 206317286 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.84 Earths and it takes 1.6 days to complete one orbit of its star. Its discovery was announced in 2019.,2019,/exoplanet-catalog/7401/epic-206317286-b/,EPIC 206317286 b,EPIC 206317286 b,0.84 Earths,Terrestrial,1025,14.005,0.086,0.96,0.00264,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,EPIC 206317286 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.84 Earths and it takes 1.6 days to complete one orbit of its star. Its discovery was announced in 2019.,EPIC_206317286_b,EPIC_206317286,false,EPIC_206317286_b,A rocky world outside our solar system,[],true,K2,null
8020,EPIC_220492298,b,EPIC 220492298 b,EPIC 220492298 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.937 Earths and it takes 0.8 days to complete one orbit of its star. Its discovery was announced in 2021.,2021,/exoplanet-catalog/8020/epic-220492298-b/,EPIC 220492298 b,EPIC 220492298 b,0.937 Earths,Terrestrial,2037,13.991,0.088,0.99,0.00295,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,EPIC 220492298 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.937 Earths and it takes 0.8 days to complete one orbit of its star. Its discovery was announced in 2021.,EPIC_220492298_b,EPIC_220492298,false,EPIC_220492298_b,A rocky world outside our solar system,[],true,K2,null
8049,GJ_367,b,GJ 367 b,GJ 367 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.546 EarthsCOMMA it takes 0.3 days to complete one orbit of its starCOMMA and is 0.0071 AU from its star. Its discovery was announced in 2021.,2021,/exoplanet-catalog/8049/gj-367-b/,GJ 367 b,GJ 367 b,0.546 Earths,Terrestrial,31,10.153,0.064,0.718,0.00172,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,GJ 367 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.546 EarthsCOMMA it takes 0.3 days to complete one orbit of its starCOMMA and is 0.0071 AU from its star. Its discovery was announced in 2021.,GJ_367_b,GJ_367,false,GJ_367_b,A rocky world outside our solar system,[],false,Transiting Exoplanet Survey Satellite (TESS),null
8656,HD_23472,d,HD 23472 d,HD 23472 d is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.55 EarthsCOMMA it takes 4 days to complete one orbit of its starCOMMA and is 0.04298 AU from its star. Its discovery was announced in 2022.,2022,/exoplanet-catalog/8656/hd-23472-d/,HD 23472 d,HD 23472 d,0.55 Earths,Terrestrial,127,9.73,0.067,0.75,0.00173,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,HD 23472 d is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.55 EarthsCOMMA it takes 4 days to complete one orbit of its starCOMMA and is 0.04298 AU from its star. Its discovery was announced in 2022.,HD_23472_d,HD_23472,false,HD_23472_d,A rocky world outside our solar system,[],false,Transiting Exoplanet Survey Satellite (TESS),null
8657,HD_23472,e,HD 23472 e,HD 23472 e is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.72 EarthsCOMMA it takes 7.9 days to complete one orbit of its starCOMMA and is 0.068 AU from its star. Its discovery was announced in 2022.,2022,/exoplanet-catalog/8657/hd-23472-e/,HD 23472 e,HD 23472 e,0.72 Earths,Terrestrial,127,9.73,0.073,0.818,0.00227,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,HD 23472 e is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.72 EarthsCOMMA it takes 7.9 days to complete one orbit of its starCOMMA and is 0.068 AU from its star. Its discovery was announced in 2022.,HD_23472_e,HD_23472,false,HD_23472_e,A rocky world outside our solar system,[],false,Transiting Exoplanet Survey Satellite (TESS),null
6039,K2-116,b,K2-116 b,K2-116 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.257 EarthsCOMMA it takes 4.7 days to complete one orbit of its starCOMMA and is 0.048 AU from its star. Its discovery was announced in 2017.,2017,/exoplanet-catalog/6039/k2-116-b/,K2-116 b,K2-116 b,0.257 Earths,Terrestrial,161,10.8,0.062,0.69,0.00081,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,K2-116 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.257 EarthsCOMMA it takes 4.7 days to complete one orbit of its starCOMMA and is 0.048 AU from its star. Its discovery was announced in 2017.,K2-116_b,K2-116,false,K2-116_b,A rocky world outside our solar system,[],true,K2,null
