"form","state","region","female","age","class","OCCUPATION1","OCCUPATION2","OCCUPATION3","black","size","education","AGE_3WAY","AGE40","OCC8","prof","REGION4","EDU_RECODE","VOTE_PRO","VOTE_RETRO","PHONE_RECODE","CAR_RECODE","ballot","Q1","Q2","Q3","Q4A","Q4B","Q4C","Q5A","Q5B","farm","SIZE3","urban","StPOAbrv","SOUTH11","SOUTH11xBLACK","SOUTH12","SOUTH12xBLACK","south","SOUTHxBLACK","year","WtPubFeas","WtVotFeas"
,"Indiana","East Central","Male",,"Av+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","in","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Male",,"Av+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,,53,"Yes",,"Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Michigan","East Central","Male",,"Av","Business",,,,"Urban",,,,"Professional","Professional","Midwest",,"Landon","Hoover",,,53,"No","No","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","mi","Non-South",,"Non-South",,"Non-South",,1936,,
,"Virginia","South and Southwest","Male","55 yrs and over","P or P+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","va","South",,"South",,"South",,1936,,
,"Florida","South and Southwest","Male","55 yrs and over","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","fl","South",,"South",,"South",,1936,,
,"Florida","South and Southwest","Male","55 yrs and over","Av+","Business",,,,"Small town",,,,"Professional","Professional","South",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","fl","South",,"South",,"South",,1936,,
,"Georgia","South and Southwest","Male","55 yrs and over","Av+","Other and None",,,,"Small town",,,,"Other","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","ga","South",,"South",,"South",,1936,,
,"Georgia","South and Southwest","Male","55 yrs and over","Av+","Skilled workers",,,,"Farm",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","ga","South",,"South",,"South",,1936,,
,"North Carolina","South and Southwest","Male","55 yrs and over","Av","Business",,,,"Urban",,,,"Professional","Professional","South",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","nc","South",,"South",,"South",,1936,,
,"Alabama","South and Southwest","Male","55 yrs and over","P or P+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","al","South",,"South",,"South",,1936,,
,"Louisiana","South and Southwest","Male","55 yrs and over","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","South",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","la","South",,"South",,"South",,1936,,
,"Kentucky","South and Southwest","Male","55 yrs and over","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","ky","Non-South",,"Non-South",,"South",,1936,,
,"Virginia","South and Southwest","Male","55 yrs and over","Av+","Other and None",,,,"Farm",,,,"Other","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Neither","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","va","South",,"South",,"South",,1936,,
,"South Carolina","South and Southwest","Male","45-54 yrs","Av+","Professiol",,,,"Urban",,,,"Professional","Professional","South",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","sc","South",,"South",,"South",,1936,,
,"Georgia","South and Southwest","Male","45-54 yrs","Av+","Professiol",,,,"Small town",,,,"Professional","Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt",,"Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","ga","South",,"South",,"South",,1936,,
,"Florida","South and Southwest","Male","35-44 yrs","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,,"Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","fl","South",,"South",,"South",,1936,,
,"Alabama","South and Southwest","Male","45-54 yrs","P or P+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","al","South",,"South",,"South",,1936,,
,"Florida","South and Southwest","Male","55 yrs and over","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","South",,"fdr","Did not vote",,,53,"Yes",,"Yes","Landon","Roosevelt",,"Roosevelt","No","Non-Farm","Urban","Urban","fl","South",,"South",,"South",,1936,,
,"Nebraska","West Central","Male","45-54 yrs","Av","Business",,,,"Urban",,,,"Professional","Professional","Midwest",,"fdr","Did not vote",,,53,"No","No","Yes","Roosevelt","Roosevelt","Both candidates","Roosevelt","No","Non-Farm","Urban","Urban","ne","Non-South",,"Non-South",,"Non-South",,1936,,
