"ID","Indicator","Red","Green","Blue"
1,"0",64,67,50
2,"0",64,67,50
3,"0",64,66,49
4,"0",75,82,53
5,"0",74,82,54
6,"0",72,76,52
7,"0",71,72,51
8,"0",69,70,49
9,"0",68,70,49
10,"0",67,70,50
11,"0",66,69,50
12,"0",64,67,50
13,"0",62,66,50
14,"0",82,85,55
15,"0",82,83,54
16,"0",79,80,53
17,"0",77,79,53
18,"0",74,80,53
19,"0",73,80,54
20,"0",73,79,54
21,"0",73,75,53
22,"0",73,74,52
23,"0",71,75,51
24,"0",70,74,50
25,"0",69,73,50
26,"0",67,70,51
27,"0",64,68,50
28,"0",61,65,49
29,"0",69,67,51
30,"0",71,75,52
31,"0",74,81,52
32,"0",77,84,53
33,"0",78,85,55
34,"0",79,85,56
35,"0",80,82,54
36,"0",80,79,53
37,"0",77,76,52
38,"0",74,75,52
39,"0",71,76,53
40,"0",72,77,54
41,"0",73,77,54
42,"0",74,76,53
43,"0",75,77,52
44,"0",74,80,51
45,"0",72,78,51
46,"0",71,74,51
47,"0",68,71,50
48,"0",64,68,50
49,"0",60,65,49
50,"0",66,68,50
51,"0",66,68,50
52,"0",65,66,50
53,"0",66,65,49
54,"0",67,63,49
55,"0",67,66,50
56,"0",68,69,51
57,"0",71,76,51
58,"0",73,81,52
59,"0",75,82,53
60,"0",76,83,54
61,"0",76,84,56
62,"0",77,80,54
63,"0",77,76,52
64,"0",74,72,50
65,"0",71,71,51
66,"0",69,73,52
67,"0",70,74,54
68,"0",72,75,55
69,"0",74,75,54
70,"0",75,77,53
71,"0",73,80,52
72,"0",72,78,51
73,"0",70,75,51
74,"0",67,71,50
75,"0",65,66,50
76,"0",61,61,49
77,"0",62,62,49
78,"0",60,65,49
79,"0",62,68,49
80,"0",63,71,50
81,"0",65,71,50
82,"0",66,69,50
83,"0",66,69,50
84,"0",67,68,50
85,"0",67,66,50
86,"0",67,65,50
87,"0",67,65,50
88,"0",68,66,50
89,"0",68,67,50
90,"0",70,73,51
91,"0",72,77,51
92,"0",75,79,53
93,"0",75,80,54
94,"0",75,81,56
95,"0",76,76,53
96,"0",75,72,51
97,"0",72,70,49
98,"0",70,69,50
99,"0",67,69,52
100,"0",69,72,54
101,"0",71,74,56
102,"0",73,74,55
103,"0",74,75,54
104,"0",72,77,53
105,"0",70,77,52
106,"0",68,75,51
107,"0",67,70,50
108,"0",65,63,49
109,"0",64,58,49
110,"0",65,61,49
111,"0",56,56,46
112,"0",55,56,48
113,"0",55,56,49
114,"0",54,55,49
115,"0",56,58,49
116,"0",58,62,49
117,"0",60,65,49
118,"0",62,68,49
119,"0",63,71,50
120,"0",65,71,50
121,"0",66,70,50
122,"0",67,69,50
123,"0",68,69,50
124,"0",68,67,50
125,"0",68,66,50
126,"0",68,66,50
127,"0",68,66,50
128,"0",68,66,50
129,"0",70,71,51
130,"0",72,74,51
131,"0",75,78,52
132,"0",75,79,54
133,"0",74,80,55
134,"0",74,74,53
135,"0",73,70,51
136,"0",70,67,49
137,"0",68,67,50
138,"0",66,69,52
139,"0",68,72,54
140,"0",70,74,56
141,"0",72,74,54
142,"0",72,74,53
143,"0",70,76,52
144,"0",67,74,51
145,"0",65,71,50
146,"0",66,67,49
147,"0",66,64,49
148,"0",67,63,50
149,"0",68,68,50
150,"0",54,52,46
151,"0",56,54,46
152,"0",59,56,45
153,"0",59,58,45
154,"0",59,60,45
155,"0",58,59,46
156,"0",57,57,47
157,"0",56,56,48
158,"0",55,55,48
159,"0",55,55,48
160,"0",56,58,48
161,"0",58,62,48
162,"0",60,65,49
163,"0",62,69,49
164,"0",63,73,50
165,"0",64,73,50
166,"0",65,71,51
167,"0",67,71,51
168,"0",68,71,51
