Quantity,Method Of Determination, Logistic Regression , Logistic Ridge Regression , LDA , QDA , KNN 
optimal threshold,value corresponding to optimal F1 measure, 0.180 , 0.150 , 0.811 , 0.960 , 0.080 
alpha,minimum, -    , -    , -    , -    , -    
optimal lambda,lambda in sequence provided by glmnet::glmnet corresponding to maximum F1 measure, -    , 0.004 , -    , -    , -    
optimal K,K in sequence provided by Peter Gedeck corresponding to maximum F1 measure, -    , -    , -    , -    , 3.000 
optimal Area Under The Precision-Recall Curve,average, 0.984 , 0.967 , 0.904 , 0.965 , 0.943 
optimal Area Under The ROC Curve,average, 0.999 , 0.998 , 0.950 , 0.998 , 0.973 
optimal accuracy,value corresponding to optimal F1 measure, 0.996 , 0.995 , 0.994 , 0.996 , 0.996 
optimal True Positive Rate,value corresponding to optimal F1 measure, 0.966 , 0.905 , 0.811 , 0.936 , 0.938 
optimate False Positive Rate,value corresponding to optimal F1 measure, 0.003 , 0.002 , 0.000 , 0.002 , 0.002 
optimal precision,value corresponding to optimal F1 measure, 0.918 , 0.938 , 0.991 , 0.941 , 0.944 
optimal F1 measure,maximum average, 0.942 , 0.921 , 0.892 , 0.938 , 0.941 
